Season,Week,Contestant,Judge_Score,Est_Fan_Vote,Uncertainty,Status
2,2,Tatum O'Neal,17.0,0.04364311099758663,0.03194154716221386,Eliminated
2,2,Tia Carrere,22.0,0.11138815530508953,0.07838595225560531,Safe
2,2,George Hamilton,22.0,0.10721152466148885,0.07519444136580762,Safe
2,2,Lisa Rinna,20.0,0.12942477896309731,0.08361931854370237,Safe
2,2,Stacy Keibler,29.0,0.11206632062780794,0.07978872558846853,Safe
2,2,Jerry Rice,23.0,0.11278876634380854,0.07936668529191507,Safe
2,2,Giselle Fernandez,24.0,0.10703749495935405,0.0782741244932247,Safe
2,2,Master P,16.0,0.15764597468540312,0.0802842318285786,Safe
2,2,Drew Lachey,27.0,0.1187938734563641,0.08561417401243028,Safe
2,3,Tia Carrere,26.0,0.12308861585377678,0.07673945675661847,Safe
2,3,George Hamilton,22.0,0.13529156173288456,0.07957048397102114,Safe
2,3,Lisa Rinna,25.0,0.13078077408023744,0.09120957490758197,Safe
2,3,Stacy Keibler,27.0,0.11983083532518064,0.08578599607657868,Safe
2,3,Jerry Rice,19.0,0.15195846771912144,0.07045750678691932,Safe
2,3,Giselle Fernandez,22.0,0.032127386897221805,0.022909140582825727,Eliminated
2,3,Master P,14.0,0.17871447791547038,0.07732792940645779,Safe
2,3,Drew Lachey,27.0,0.12820788047610654,0.09557842546026775,Safe
2,4,Tia Carrere,25.0,0.1626341619874091,0.113694350603611,Safe
2,4,George Hamilton,21.0,0.164963224653524,0.09014522512276921,Safe
2,4,Lisa Rinna,26.0,0.15107046401099936,0.10415722213653979,Safe
2,4,Stacy Keibler,26.0,0.1230991442210842,0.09756470507164038,Safe
2,4,Jerry Rice,24.0,0.16237822107789862,0.1106898022180908,Safe
2,4,Master P,8.0,0.07296777183561083,0.04858668847161472,Eliminated
2,4,Drew Lachey,28.0,0.16288701221347365,0.11588695170408903,Safe
2,5,Tia Carrere,22.0,0.09515212258315286,0.06338289351192788,Eliminated
2,5,George Hamilton,24.0,0.19621946196947848,0.11537352525614661,Safe
2,5,Lisa Rinna,25.0,0.19396905657489713,0.13134985478604194,Safe
2,5,Stacy Keibler,30.0,0.1522535948203527,0.1121901626092418,Safe
2,5,Jerry Rice,23.0,0.21105405643848668,0.12332950672745437,Safe
2,5,Drew Lachey,27.0,0.1513517076136329,0.11740172251572811,Safe
2,6,George Hamilton,23.0,0.09405753855904216,0.06782107775265506,Eliminated
2,6,Lisa Rinna,27.0,0.2239070780333847,0.14305923938273774,Safe
2,6,Stacy Keibler,30.0,0.20255203369678995,0.15265969438777777,Safe
2,6,Jerry Rice,23.0,0.2648122537761863,0.13486196642830292,Safe
2,6,Drew Lachey,30.0,0.21467109593459588,0.13678134281129437,Safe
2,7,Lisa Rinna,26.5,0.13248775843091326,0.09627789344358417,Eliminated
2,7,Stacy Keibler,27.5,0.2894260032848025,0.19525432451989622,Safe
2,7,Jerry Rice,20.5,0.32597987423864294,0.14370302706273316,Safe
2,7,Drew Lachey,27.5,0.252106364045642,0.17522629500279288,Safe
2,8,Stacy Keibler,28.6665,0.37545749194608874,0.23790140609676005,Safe
2,8,Jerry Rice,26.666600000000003,0.23137719545730948,0.17104399891503963,Safe
2,8,Drew Lachey,28.9998,0.39316531259660237,0.23976371507576683,Safe
